"DATE","PBI","PELEC","CINTC","VOLINPUT","INDPRO","INGRESO","CREDMN","IGBVL"
"2007-08-01","9.3648","9.4511576348654","14.190446988645","30.51633066257","2.3824","3.2376162108116","39.021381798721","108.21378452749"
"2007-09-01","12.9223","8.1256564709764","12.045593867391","31.525685710981","2.789","0.78496789691058","41.070832272089","110.03586023172"
"2007-10-01","11.8994","9.5297600260568","21.567586739675","11.428226667042","2.5942","1.8332682748113","38.633731121563","102.87240030894"
"2007-11-01","9.8244","9.1720038702154","14.656353649582","5.4648883251237","3.2341","2.6059169169537","38.855102373127","58.990751941448"
"2007-12-01","12.5094","9.6799545985865","19.772993314865","18.650289295516","2.2095","2.6242262871618","38.554978727938","36.01768057"
"2008-01-01","9.5160","9.0229077821601","21.079377777004","31.860755940837","2.4548","6.1495290786463","40.976930143465","10.094045818548"
"2008-02-01","13.5432","14.303379244779","22.626927910458","14.218030378218","1.1288","9.5975999981837","40.855953376664","17.267803420823"
"2008-03-01","7.6163","8.0744559133271","12.930925809107","13.187720988805","0.5647","9.3006847325003","40.117522294952","1.3679966326237"
"2008-04-01","14.0844","10.920902858514","32.030885827587","42.529037787116","-0.8399","12.639070814451","40.759231199321","-15.694677283144"
"2008-05-01","7.0061","7.6362163687381","15.06006665345","19.127880395138","-1.5075","11.458311546945","41.939077711167","-14.897091333615"
"2008-06-01","10.7900","9.7755336719188","19.410596733868","41.036772806961","-1.7571","13.912376431107","42.900200623415","-27.148158580697"
"2008-07-01","9.5138","7.1363217245484","18.194839219774","22.151272020429","-2.1085","13.235427156049","42.918062380456","-41.218933844959"
"2008-08-01","8.7501","9.2776500448761","12.932611696211","13.33182707915","-3.9038","13.320146257474","43.364493837014","-36.259933436501"
"2008-09-01","10.4752","10.823465527835","22.964872174734","25.243294157905","-8.3572","13.664868679072","41.418306913035","-48.457163490266"
"2008-10-01","8.2442","8.2196206656846","9.9521076174235","14.882371862751","-7.1837","13.424672466633","46.943271616517","-67.482705552613"
"2008-11-01","6.3088","4.6032905146775","7.5117426557099","5.6061727497847","-8.998","13.060440042395","47.629251632147","-59.435187503047"
"2008-12-01","5.0245","2.8797240946079","9.710944559922","-9.450284898211","-11.6371","12.30001749192","46.940235617199","-59.778861829443"
"2009-01-01","4.5125","3.3297473234635","3.0900254001305","-23.12478821774","-13.7318","11.625823636998","45.962610660188","-53.994675542539"
"2009-02-01","0.3547","-1.6747540604263","4.3886208433513","-25.534116612445","-13.9315","12.145038416171","44.329258603321","-62.448682778239"
"2009-03-01","2.9443","1.6409896953457","5.731395337841","-15.456847839711","-14.9859","8.942866179026","43.458912027054","-46.871799059898"
"2009-04-01","-1.2653","0.27916233884679","-2.6616503268922","-27.251174675995","-14.9692","7.0261543272138","39.111359861178","-42.746848239294"
"2009-05-01","1.9161","1.8870412825378","-0.53101348505157","-17.956161232613","-15.2438","7.2557663480957","35.771089955422","-21.823395184927"
"2009-06-01","-2.8585","-2.8469244549328","-1.9190078273643","-37.278840275764","-15.3012","6.9711192942332","31.616251907256","-19.849490332927"
"2009-07-01","-1.3907","-2.6732678814749","5.8018410001173","-22.737214264207","-13.8653","6.5005229412898","29.534586186982","2.3723888430818"
"2009-08-01","0.8854","-0.43501936087192","4.9224491805356","-19.56534311086","-11.3507","7.5103721375214","27.704439319812","5.0270105106936"
"2009-09-01","0.2384","0.24959793483053","2.451799450484","-25.983019334083","-6.4379","11.489717994217","26.533913525929","34.634019711213"
"2009-10-01","1.2640","-0.47028654783275","9.6222974926602","-4.7687175691762","-7.0441","11.221300754922","22.330744362214","101.46646936091"
"2009-11-01","2.6653","3.8704675117362","12.465485399872","15.357263767173","-5.4676","8.2119644128045","19.875188922796","90.790628586861"
